iter	MultiClass
0	0.7260715936
1	0.5492512856
2	0.4578065601
3	0.3832881423
4	0.3420985399
5	0.2999942937
6	0.2794884015
7	0.2631615743
8	0.2439439354
9	0.2277824662
10	0.2214366982
11	0.2137710973
12	0.2123892803
13	0.2084048403
14	0.205554303
15	0.2030828307
16	0.2014552506
17	0.19686907
18	0.1957715631
19	0.1920816797
20	0.191094987
21	0.190361925
22	0.1880865244
23	0.1862443091
24	0.1850042468
25	0.184240092
26	0.1831456397
27	0.1819545062
28	0.1799800711
29	0.1782500809
30	0.1775288475
31	0.1761563134
32	0.1754241059
33	0.17506305
34	0.1742135218
35	0.1728656234
36	0.1718456204
37	0.1712696093
38	0.1698098889
39	0.1694115713
40	0.1690560337
41	0.1683636049
42	0.1677191192
43	0.1662385877
44	0.1657975472
45	0.1650362341
46	0.1637818562
47	0.1621723738
48	0.1620131805
49	0.1616140595
50	0.1610453024
51	0.1604737791
52	0.1599232105
53	0.1596906612
54	0.1586188054
55	0.1582410329
56	0.1580525372
57	0.1571594545
58	0.1563483653
59	0.1559909185
60	0.1551741437
61	0.1546255859
62	0.1543129387
63	0.1541708224
64	0.1537540103
65	0.1535169764
66	0.1532749788
67	0.1521994501
68	0.1514348233
69	0.1511466717
70	0.1509553044
71	0.150814228
72	0.1500726214
73	0.1490550762
74	0.1488059639
75	0.148405127
76	0.148336849
77	0.1477525554
78	0.1473149076
79	0.1472397176
80	0.1467757766
81	0.1466600584
82	0.1463335173
83	0.1462757269
84	0.146040113
85	0.1456656588
86	0.1452022316
87	0.1451833583
88	0.1450172809
89	0.1445692595
90	0.1438894413
91	0.143775039
92	0.14360067
93	0.1433570922
94	0.143175348
95	0.1430538831
96	0.142664118
97	0.1425238873
98	0.142283991
99	0.1420877106
