iter	Passed	Remaining
0	1	114
1	2	107
2	3	104
3	4	104
4	5	105
5	6	102
6	7	100
7	8	97
8	9	96
9	10	95
10	11	95
11	13	96
12	14	94
13	15	93
14	16	92
15	17	90
16	18	89
17	19	88
18	20	87
19	21	86
20	22	85
21	23	84
22	24	83
23	26	83
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	33	75
31	34	73
32	35	72
33	36	71
34	37	70
35	38	69
36	40	68
37	41	66
38	42	65
39	43	64
40	44	63
41	45	62
42	46	61
43	47	60
44	48	59
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	59	50
54	60	49
55	61	48
56	62	46
57	63	45
58	64	44
59	65	43
60	67	42
61	68	41
62	69	41
63	71	40
64	72	39
65	73	37
66	74	36
67	75	35
68	76	34
69	78	33
70	79	32
71	81	31
72	83	30
73	85	29
74	88	29
75	89	28
76	90	27
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	96	19
83	97	18
84	98	17
85	99	16
86	101	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
